"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1",0.2,0.54,0.26,6,2.1,0,0.3,20.6,29.2,5,64,0.5,8.1,2,13,4,1
"2",0.2,0.48,0.32,5.9,1.6,0,0.2,16.1,26,3,40,0.8,9.1,2,9,3,1
"3",0.2,0.54,0.26,6,2.1,0,0.3,19.8,28.7,4,47,0.3,8.6,1,9,2,1
"4",0.28,0.4,0.32,5.6,1.4,0,0.2,13,19.9,5,99,0.3,6.6,7,9,2,1
"5",0.2,0.54,0.26,6.2,3.3,0,0.3,17.5,27.2,5,131,0.6,9.1,80,16,4,1
"6",0.18,0.48,0.34,6.7,1.5,0,0.4,16,26.9,4,55,0.3,10.6,6,14,3,1
"7",0.16,0.48,0.36,5.9,1.9,0,0.3,16.4,25.4,4,82,1,8,6,12,3,1
"8",0.16,0.54,0.3,6.1,4.6,0,0.3,18.4,28.9,5,96,0.8,9.7,3,10,4,1
"9",0.3,0.38,0.32,6.8,3.3,0,0.3,17.9,27.9,2,49,0.3,9.7,4,11,3,1
"10",0.26,0.44,0.3,5.2,3.9,0.8,0.4,12.3,19.5,8,625,0.4,6,275,25,4,2
"11",0.24,0.44,0.32,4.8,5.3,3.2,0.5,8.2,17.6,9,1005,0.3,5.9,275,13,6,3
"12",0.18,0.46,0.36,5.9,2.8,0,0.4,17.5,26.6,7,113,0.4,8.7,34,10,4,1
"13",0.24,0.42,0.34,5.7,5,0,0.5,14.4,23.5,7,223,0.5,8.6,47,11,5,1
"14",0.18,0.56,0.26,7.2,1.7,0,0.3,17.7,28.4,4,47,0.3,10.4,9,6,3,0.5
"15",0.14,0.56,0.3,5.7,2.8,0,0.4,15.9,26.5,7,178,0.4,10.2,130,8,5,1
"16",0.18,0.6,0.22,4.8,4.9,4,0.7,10.3,20.5,13,695,0.3,5.9,500,11,4,2
"17",0.14,0.56,0.3,6.3,1.8,0,0.3,19.5,29.8,5,55,0.5,9.8,8,9,3,0.5
"18",0.18,0.56,0.26,5.4,4.2,0.5,0.5,14.8,25.7,10,262,0.5,9.9,34,9,4,2
"19",0.18,0.56,0.26,4.9,3.2,1.5,0.5,12.5,21.6,8,396,0.6,7,145,10,4,1
"20",0.22,0.46,0.32,4.9,4.7,1.5,0.7,10.9,19.9,16,800,0.5,7,195,10,15,2
"21",0.14,0.62,0.24,5.5,4.1,0,0.6,15,25.1,10,316,0.5,9.6,85,9,5,1
"22",0.12,0.58,0.3,5.1,4.3,1,0.6,13.1,22.7,11,590,0.4,8.2,150,9,9,1
"23",0.3,0.46,0.24,4.9,8.7,1.8,0.8,9.1,19.4,15,980,0.4,8.1,75,7,11,3
"24",0.16,0.52,0.32,5.4,5.3,0.4,0.6,14.8,24.4,9,385,0.5,8.7,115,10,7,1
"25",0.18,0.56,0.26,6.1,3.4,0,0.5,18.9,26.5,7,109,0.4,7.2,35,11,6,1
"26",0.22,0.46,0.32,5.9,4.5,0,0.5,15.9,25.1,8,219,0.6,8.6,85,12,6,1
"27",0.14,0.62,0.24,6.4,3.9,0,0.6,18.5,29.5,6,105,0.4,10.6,18,10,5,1
"28",0.12,0.56,0.32,5.9,3.5,0,0.5,16,26,12,221,0.8,9.2,100,14,8,1
"29",0.08,0.7,0.22,5.5,2.2,0,0.5,15.1,24.1,5,295,0.4,8.6,140,12,3,2
"30",0.14,0.6,0.26,6.2,2.5,0,0.5,18.8,29.4,4,106,0.4,10.2,83,10,6,1
"31",0.24,0.48,0.28,5.4,5.1,0.6,0.7,15.1,24.5,11,620,0.5,8.3,205,9,7,1
"32",0.14,0.58,0.28,6.2,1.9,0,0.4,16.9,24.5,5,107,0.5,7.1,11,15,4,1
"33",0.1,0.6,0.3,6.6,3.4,0,0.6,17.4,26.7,9,96,0.5,8.8,20,13,10,1
"34",0.22,0.52,0.26,5,5,1.6,0.9,11.3,21,16,795,0.4,7.7,185,9,9,2
"35",0.14,0.6,0.26,6.1,2.8,0,0.2,16.6,28.7,5,170,0.7,11.4,29,20,9,1
"36",0.16,0.6,0.24,5.1,3.8,0.8,0.6,14.9,26.8,11,330,0.4,10.7,170,12,6,2
"37",0.18,0.6,0.22,4.6,4.1,3.4,0.6,11.3,22.2,10,1100,0.4,7.1,225,11,5,2
"38",0.12,0.68,0.2,5.4,3.4,0.4,0.4,16.4,26,7,294,0.5,8.7,210,16,4,1
"39",0.12,0.7,0.18,6.4,1.4,0,0.4,17.7,31,4,49,0.4,12.9,5,9,4,1
"40",0.3,0.5,0.2,4.7,6.3,4.1,1,9.1,18.9,10,1115,0.3,5.4,120,9,5,2
"41",0.34,0.42,0.24,4.7,7.2,3.2,0.9,9.5,20.7,10,1250,0.4,7.6,95,10,8,2
"42",0.3,0.54,0.16,4.8,7.3,3.7,0.7,10.2,21.7,8,1035,0.3,7.5,120,9,5,3
"43",0.18,0.54,0.28,6.4,2.2,0,0.2,17.2,30.2,5,67,0.3,12.7,11,12,4,1
"44",0.26,0.56,0.18,4.8,5.9,3.9,0.8,10.5,22.2,8,1230,0.4,7.4,125,10,6,2
"45",0.14,0.66,0.2,6,2.3,29.6,0.3,17.9,29.6,7,141,0.4,11.3,60,12,4,1
"46",0.12,0.66,0.22,6.1,3.2,0,0.4,17.9,27.9,5,166,0.3,9.7,40,20,4,1
